Bug_ID,Product,Component,Status,Resolution,Summary,Changed,Description,Duplicate_Bug_Ids
518403.0,Mylyn,Releng,RESOLVED,DUPLICATE,OOMPH: refactor mylyn.setup,2020-07-05 23:11:53,actual we have two kinds of setup in one file    source code  bugs  reviews  and builds   source code and builds  new we want to have one setup and we use global variables and filters for compound tasks to control if    issues   reviews   builds  are included in the setup ,564269.0
529563.0,Platform,SWT,CLOSED,DUPLICATE,[GTK3][Tree][Drawing] Tree does not repaint upon request,2018-02-22 10:01:40,please run attached snippet  it should show a spinning progress image before the first tree item  starting stopping after a few seconds  on windows   this works fine  but on linux no repaint events occur and hence no progress is visible   unless you move the mouse over the tree control ,511133.0
531120.0,Platform,SWT,CLOSED,DUPLICATE,[GTK3] setvisible changes 0x0 widget sizes.,2018-08-29 14:26:01,with snippet   slightly modified      blank shell    text widget is visible even thou it should be     public class     public static void main     display display   new display    shell shell   new shell     text text   new text      text size is not set  it should be    text settext    text setvisible     shell setsize    shell open    while        if       display sleep       display dispose        this causes some glitches in the context where   widgets are used for event capture or are not visible at creation time ,533469.0
510563.0,Community,Bugzilla,CLOSED,DUPLICATE,Process to get a Bugzilla account too complicated,2017-03-01 15:17:37,the current process of getting a bugzilla account seems to complicated  it frustrates users and prevents them to report bugs     this was reported several times to us on different channels  as an example  see here       we currently often have to communicate using private mails or twitter  i think this issue seriously harms the community ,502814.0
513426.0,Community,Wiki,CLOSED,DUPLICATE,"wiki.eclipse.org is ""down"" with MediaWiki 1.26 internal error Installing some external dependencies (e.g. via composer) is required.",2017-03-10 05:58:09,  currently shows   mediawiki     internal error  installing some external dependencies   is required  external dependencies  mediawiki now also has some external dependencies that need to be installed via composer or from a separate git repo  please see mediawiki org for help on installing the required components      ,513431.0
516950.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Xtext Hudson is not responding,2017-05-22 13:23:23,proxy error  the proxy server received an invalid response from an upstream server  the proxy server could not handle the request get  xtext    reason  error reading from remote server   trying to restart hudson from my account page prints   your request to restart hudson has completed  output text  ssh exchange identification  connection closed by remote host   this is quite urgent since we need to build the xtext release for oxygen   ,517029.0
518675.0,JGit,JGit,CLOSED,DUPLICATE,git force full checkout not working,2021-01-21 04:10:00,when running following command using using git cli working   git init git remote add origin  url  git fetch git checkout  b master  f   track origin master  but using jgit the last command still giving the conflicts exception   code used for last step   git git   git open     checkoutcommand checkoutcommand   git checkout     checkoutcommand setcreatebranch  setname  setupstreammode  setforce  setstartpoint  call  ,568038.0
519731.0,Community,CI-Jenkins,CLOSED,DUPLICATE,HIPP3 is down,2017-07-17 05:05:33,tracecompass  rcptt  xtext and others cannot merge patches while the ci is down ,517029.0
519757.0,Community,EclipseCon,CLOSED,DUPLICATE,Can't login on www.eclipsecon.org --> redirected to a connection timed out page,2017-07-17 10:23:07,from     click on  login  at the top right  i m redirected to    authorize client id   response type code scope openid     redirect uri https    www eclipsecon org   openid connect generic state    here are the details of the request provided by chrome debugger  request url    authorize client id   response type code scope openid     redirect uri https    www eclipsecon org   openid connect generic state   referrer policy no referrer when downgrade request headers provisional headers are shown upgrade insecure requests   user agent mozilla       applewebkit       chrome         safari     query string parameters view source view url encoded client id   response type code scope openid email profile redirect uri    openid connect generic state    the same occurs when clickign  submit now  on the cfp page     cfp,519739.0
520193.0,Community,Servers,CLOSED,DUPLICATE,Download.eclipse.org timeout,2017-07-26 04:38:16,i get  connection timed out  when trying to reach download eclipse org  with any client i ve tried    this is a blocker for local development ,515596.0
521003.0,CBI,signing-service,CLOSED,DUPLICATE,Mac dmg-packager timed out,2017-08-29 06:17:29,we have a build failure due to timeout in dmg packager  here is the log   build photon   console  during our build we trigger dmg packager thrice  first two were successful and the third one timed out   here are the time  when we triggered       triggered for org eclipse rt osgistarterkit product macosx cocoa   tar gz       dmg creation complete        triggered for org eclipse platform ide macosx cocoa   tar gz       dmg creation complete        triggered for org eclipse sdk ide macosx cocoa   tar gz dmg creation timed out after   minutes  this problem did not appear today ,521305.0
521284.0,Community,Website,CLOSED,DUPLICATE,Download.eclipse.org is down,2017-08-23 03:04:17,we are getting timeout when we try to access download eclipse org,515596.0
521520.0,Platform,IDE,CLOSED,DUPLICATE,Cannot start IDE due to infinite when painting toolbar,2017-08-29 08:42:23,created attachment   log file  ide splash screen is displayed  but it crashes before main screen is displayed ,509083.0
522536.0,EclipseLink,EIS,RESOLVED,DUPLICATE,Retrying a query doesn't work on non relational databases,2017-09-21 04:06:44,org eclipse persistence internal sessions abstractsession java   makes abstractsession getlogin throw an exception on mongodb   either catch the exception and don t retry or move getqueryretryattemptcount  to datasourcelogin and call getdatasourcelogin  getqueryretryattemptcount    throwing an exception in a catch block makes it impossible to find the root cause ,520889.0
525760.0,Platform,IDE,CLOSED,DUPLICATE,no one menu item is available,2017-10-20 06:44:06,created attachment   unavailable menu  no one menu item is available in macos high sierra and eclipse oxygen   release  ,520176.0
528946.0,Platform,IDE,CLOSED,DUPLICATE,Eclipse crashes all of a sudden when trying to cut code or delete code or remove code. Its happening all the time. Please fix.,2018-01-26 04:29:25,process                eclipse     path                    users user   eclipse app contents macos eclipse identifier             org eclipse platform ide version                        code type                    parent process                 responsible            eclipse     user id                   date time                               os version             mac os x         report version           anonymous uuid                    sleep wake uuid                   time awake since boot    seconds time since wake          seconds  system integrity protection  enabled  crashed thread            dispatch queue  com apple main thread  exception type         exc bad access   exception codes        kern invalid address at   exception note         exc corpse notify  vm regions near        mapped file                       r   r x sm ali  object id            vm allocate                      rw  rwx sm prv    application specific information  abort  called  thread   crashed   dispatch queue  com apple main thread     libsystem kernel dylib             pthread kill         libsystem pthread dylib          pthread kill         libsystem c dylib                abort         libjvm dylib                     os  abort          libjvm dylib                     vmerror  report and die          libjvm dylib                     jvm handle bsd signal         libjvm dylib                     signalhandler          libsystem platform dylib          sigtramp                                                    com apple coregraphics           cgblt copybytes        com apple coregraphics                    com apple coregraphics           ripl mark        com apple coregraphics           riplayerbltimage        com apple coregraphics           ripc renderimage        com apple coregraphics           ripc drawimage        com apple coregraphics           cgcontextdelegatedrawimage        com apple appkit                   backing store drawimage block invoke        com apple appkit                 backing store delegate        com apple appkit                 backing store drawimage llvm          com apple coregraphics           cgcontextdelegatedrawimage        com apple appkit                 backing store drawwindowcontents llvm          com apple coregraphics           cgcontextdelegatedrawwindowcontents        com apple skylight               slcontextcopywindowcontentstorect        com apple appkit                  nsrenderimagefromwindow        com apple appkit                  nxscroll        com apple appkit                 nscopybitsfromgraphicscontext        com apple appkit                 nscopybits        libswt pi cocoa   jnilib      java org eclipse swt internal cocoa os nscopybits                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          libjvm dylib                     javacalls  call helper         libjvm dylib                     reflection  invoke         libjvm dylib                     reflection  invoke method         libjvm dylib                     jvm invokemethod                                                                                          thread        libsystem kernel dylib             psynch cvwait         libsystem pthread dylib           pthread cond wait         libjvm dylib                     os  platformevent  park          libjvm dylib                     parkcommon          libjvm dylib                     monitor  iwait          libjvm dylib                     monitor  wait          libjvm dylib                     gctaskmanager  get task          libjvm dylib                     gctaskthread  run          libjvm dylib                     java start          libsystem pthread dylib           pthread body        libsystem pthread dylib           pthread start        libsystem pthread dylib          thread start      thread        libsystem kernel dylib             psynch cvwait         libsystem pthread dylib           pthread cond wait         libjvm dylib                     os  platformevent  park          libjvm dylib                     parkcommon          libjvm dylib                     monitor  iwait          libjvm dylib                     monitor  wait          libjvm dylib                     gctaskmanager  get task          libjvm dylib                     gctaskthread  run          libjvm dylib                     java start          libsystem pthread dylib           pthread body        libsystem pthread dylib           pthread start        libsystem pthread dylib          thread start      thread        libsystem kernel dylib             psynch cvwait         libsystem pthread dylib           pthread cond wait         libjvm dylib                     os  platformevent  park          libjvm dylib                     parkcommon          libjvm dylib                     monitor  iwait          libjvm dylib                     monitor  wait          libjvm dylib                     gctaskmanager  get task          libjvm dylib                     gctaskthread  run          libjvm dylib                     java start          libsystem pthread dylib           pthread body        libsystem pthread dylib           pthread start        libsystem pthread dylib          thread start    ,502711.0
534468.0,EPF,EPFWiki,CLOSED,DUPLICATE,Connection Timed Out in http://epf.eclipse.org/wikis/openup/,2019-10-14 13:52:44,i used to refer to openup and scrum documentation online  unfortunately it is not available now   the error message is  connection timed out  url addresses are     and also   ,538017.0
535400.0,Community,Bugzilla,CLOSED,DUPLICATE,New target milestones do not appear,2018-05-31 14:34:15,new target milestones do not appear   i added         with key   but it does not appear ,535031.0
535535.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Jenkins is down,2018-06-05 10:38:40,i cannot connect to ci eclipse org  other websites   work just fine ,535543.0
535831.0,Platform,UI,CLOSED,DUPLICATE,org.eclipse.e4.xwt.XWTException: Type UiBinder is not found using gwt 2.8.1,2018-06-18 09:57:03,created attachment   reporr generate in eclipse  when start one ui binder gwt the windowbuilder crash,535832.0
536447.0,MPC,wizard,CLOSED,DUPLICATE,Can't open Eclipse Marketplace,2018-08-13 08:11:19,i can t access to open eclipse on eclipse photon    it always close itself ,536385.0
536453.0,Community,CI-Jenkins,CLOSED,DUPLICATE,"""Unknown host download.eclipse.org"" on aCute Jenkins instance",2018-06-29 04:00:09,for example    job   gerrit   ,536435.0
537644.0,Community,CI-Jenkins,CLOSED,DUPLICATE,https://ci.eclipse.org/emf/ not working,2018-08-03 03:33:28,it s failing with this error   proxy error  the proxy server received an invalid response from an upstream server  the proxy server could not handle the request get  emf    reason  error reading from remote server  other links work      i believe it s all the   instances ,537462.0
538294.0,Community,CI-Jenkins,CLOSED,DUPLICATE,JDT JIPP is down,2018-08-27 02:35:32,jdt hipp is down since yesterday      c    gerrit jobs are not starting ,537462.0
538344.0,JDT,Debug,CLOSED,DUPLICATE,Remote debuging loses thread while standing on a breakpoint,2018-08-29 11:37:31,created attachment   eclipse configuration  on remote debugging the debuger loses the thread after few seconds standing on a break point  the original thread has no plus   to find and select again   the remote jvm uses openjdk        eclipse run under oracale       ,535686.0
538896.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Proxy error when trying to reach https://ci.eclipse.org/egit,2018-09-11 06:31:12,when trying to open   i hit the following proxy error   proxy error the proxy server received an invalid response from an upstream server  the proxy server could not handle the request get  egit   reason  error reading from remote server  this worked earlier today  i tried to restart the egit jenkins but this didn t fix the problem   i can reach   successfully,538911.0
539854.0,z_Archived,PDT,CLOSED,DUPLICATE,Very slow,2020-05-14 13:23:29,created attachment   example css file  when i open a file with a big lines  it s very very slow  and when i try search it s very very slow   for example this file has   characters in a same line   please help me   thanks,539855.0
540162.0,Community,Servers,CLOSED,DUPLICATE,download.eclipse.org timeouts,2018-10-16 03:30:47,see   project issues dev   html this seems to be noticeable at least from grenble france  south germany and san jose ,540161.0
540175.0,Platform,Website,CLOSED,DUPLICATE,download.eclipse.org not reachable,2018-10-16 07:11:47,the openjdk jmc project relies on   being available for full builds  currently builds are failing since download eclipse org seems to be unavailable  making it impossible to submit fixes needed for codeone to the openjdk jmc project  not to mention that some demos for codeone will be hard to run live ,540161.0
540943.0,Community,CI-Jenkins,CLOSED,DUPLICATE,hipp6 is down,2018-11-15 01:07:04,  status shows            dead  offline or not reporting,537462.0
540965.0,z_Archived,WindowBuilder,RESOLVED,DUPLICATE,"WindowBuilder crashes Eclipse 1.9.x and 1.8.x and JDK 8x, 9x, 10x and 11x",2021-06-04 16:45:20,created attachment   error log file of jre crash  eclipse crashes after switching to  design  tab   issue has been observed with the following workstation specs   oses  ubuntu     and linux mint   setups eclipse versions      x and     x jdk versions  openjdk         and      attached is the jre crash log generated,542981.0
541186.0,Community,Servers,RESOLVED,DUPLICATE,Provide http(s) download/mirror capability without redirects for download.eclipse.org for corporate members,2019-09-24 08:09:51,it s currently challenging to impossible for corporate members with a whitelist based security approach to mirroring downloading binaries from download eclipse org via http https   the culprit are random redirects at download eclipse org to random mirrors  it would require whitelisting all possible mirrors in corporate firewalls or proxies which is almost impossible because   the mirror list is changing at random and   there might be compliance as well as security issues validating all possible mirrors   there needs to be a way for corporate members to download access download eclipse org without those random redirects    i can see multiple possible solutions    require https access with authentication   allow access to friends of eclipse mirror hosted by ef   whitelist based on member ip networks   example   debug  defaultclientconnection   sending request  get          r jar http      debug  headers      get          r jar http      debug  headers      host  download eclipse org      debug  defaultclientconnection   receiving response  http       temporary redirect  debug  headers      http       temporary redirect  debug  headers      location           r jar  debug  headers      x nodeid   ,539316.0
542734.0,Community,CI-Jenkins,CLOSED,DUPLICATE,github.com hostname is not resolved,2018-12-13 03:30:45,job at     release build  does not recognize github com as a valid hostname   failed to connect to repository   command  git ls remote  h git github com eclipse   glassfish git head  returned status code    stdout  stderr  ssh  could not resolve hostname github com  try again fatal  could not read from remote repository   please make sure you have the correct access rights and the repository exists   after several tries to fix that i ve gave up  could you please advice   github is accessible meanwhile   ,542728.0
542908.0,RCPTT,IDE,CLOSED,DUPLICATE,Eclipse 2018-09 + RCPTT 2.4.0 => Launch fails with: Failed to detect platform version,2018-12-19 10:49:16,may be similar to bug      installed rcptt       from nightly update site in my eclipse     and created a new launch configuration for my rcp project  selected the  target launch configuration  and clicked on  run    rcptt fails to launch and says   invalid eclipse target platform  assist gui tests   with rcptt  failed to detect platform version    ,538719.0
