Unnamed: 0,Bug_Id,Product,Component,Status,Resolution,Summary,Changed,Description,Duplicate_Bug_Ids,Type,Updated,Bug Id
23,1678425,GeckoView,Extensions,NEW,,Memory leak in GeckoEditable.mListener,2020-11-19T19:58:05Z,we ve been fixing memory leaks in fenix and there s one known leak left which looks to be a gv issue we d need help with   we are calling  releasesession  when the view is detached but somehow end up in this state  the gc root being in native code  and the view being referenced via  geckoeditable mlistener   since the gc root isn t in a c fenix we d need some help understanding what could go wrong here      str in fenix debug    open private tabs   tap on notification to close all private tabs   open a new private tab  leakcanary      ┬─── │ gc root  global variable in native code │ ├─ org mozilla geckoview geckoeditable instance │    leaking  unknown │    ↓ geckoeditable mlistener │                              ├─ org mozilla geckoview geckoinputconnection instance │    leaking  unknown │    ↓ geckoinputconnection mtargetview │                                       ├─ mozilla components browser engine gecko geckoengineview geckoview   instance │    leaking  yes   │    anonymous subclass of mozilla components browser engine gecko nestedgeckoview │    mcontext instance of org mozilla fenix homeactivity with mdestroyed   true │    view mparent is set │    view mattachinfo is null   │    view mwindowattachcount     │    ↓ geckoengineview geckoview    context ├─ org mozilla fenix homeactivity instance │    leaking  yes   │    ↓ homeactivity mfragments ├─ androidx fragment app fragmentcontroller instance │    leaking  yes   │    ↓ fragmentcontroller mhost ├─ androidx fragment app fragmentactivity hostcallbacks instance │    leaking  yes   │    ↓ fragmentactivity hostcallbacks mfragmentmanager ├─ androidx fragment app fragmentmanagerimpl instance │    leaking  yes   │    ↓ fragmentmanagerimpl mnonconfig ╰→ androidx fragment app fragmentmanagerviewmodel instance      leaking  yes   callback       key                  watchdurationmillis          retaineddurationmillis        ,,,,
24,782423,Toolkit,Reader Mode,RESOLVED,WORKSFORME,Intro paragraph missing from http://en.m.wikipedia.org pages,2012-08-13T21:36:02Z,readability js picks one div with more text than others  we should probably add code handle pages where the text is split in different sections divs ,,,,
25,1402976,Firefox for iOS,General,RESOLVED,FIXED,Integrate 'telemetry-ios' library for unified telemetry,2017-09-25T20:44:18Z,,,,,
27,1478754,Core,Canvas: WebGL,RESOLVED,FIXED,WebGL crash when webgl.enable-surface-texture is enabled on Android,2018-07-26T18:00:32Z,we can reproduce this crash in firefox reality using geckoview  str  enable webgl enable surface texture load   lab  crashes on the moz release assert   in  sharedsurface surfacetexture  commit ,,,,
28,1424995,Firefox for iOS,General,NEW,,Event (E_Opened_New_Tab) not triggered when opening a new tab via long press on Tab Counter,2017-12-13T12:58:58Z,build        device  iphone   ios         steps to reproduce     open firefox    long tap on the tab counter    tap  open new tab      check event trail in leanplum  actual results    e opened new tab event is not triggered when opening a new tab via long press on tab counter   expected results    e opened new tab should be triggered when opening a new tab ,,,,
29,1496684,Firefox for Android Graveyard,Custom Tabs,VERIFIED,FIXED,Fennec GeckoView hangs if Gecko isn't already running (with extension using blocking webRequest listener),2018-10-05T09:59:48Z,user agent  mozilla       gecko   firefox      steps to reproduce   these have stopped working over the past couple of weeks  confirmations     firefox custom tabs not loading ,,,,
34,1608826,GeckoView,General,NEW,,[meta] Geckoview load initiation performance,2020-01-13T14:33:42Z,metabug for anything impacting the initiation of pageload in geckoview browsers    this includes processing between receipt of an intent or a keypress and when the network request to load the page is on the network ,,,,
35,1368187,Core Graveyard,Embedding: APIs,RESOLVED,FIXED,[geckoview] Correctly set the nsIBrowserDOMWindow instance,2017-05-26T22:13:11Z,this apparently needs to be set  before  the first  browser  is created on    otherwise it does not get moved over to the tabparent and stuff doesn t work ,,,,
37,1733757,Data Platform and Tools,Glean: SDK,VERIFIED,FIXED,Crash in [@ ffi_support::handle_map::ConcurrentHandleMap<T>::insert],2021-10-02T07:19:16Z,crash report    stats mozilla org report index            moz crash reason     bug  next index pointed at non free list entry       top   frames of crashing thread        libxul so rustmozcrash mozglue static rust wrappers cpp     libxul so mozglue static  panic hook mozglue static rust lib rs     libxul so core  ops  function  fn  call library core src ops function rs     libxul so std  panicking  rust panic with hook library std src panicking rs     libxul so std  panicking  begin panic    closure   library std src panicking rs     libxul so std  sys common  backtrace    rust end short backtrace library std src sys common backtrace rs     libxul so std  panicking  begin panic library std src panicking rs     libxul so ffi support  handle map  concurrenthandlemap t   insert third party rust ffi support src handle map rs     libxul so glean labeled counter metric get third party rust glean ffi src labeled rs     libjnidispatch so libjnidispatch so       ,,,,
41,1454211,Toolkit,Form Autofill,RESOLVED,FIXED,"Form Autofill/History Assertion failure: mSearchesOngoing > 0 && mSearches.Contains(aSearch) in nsAutoCompleteController.cpp:821 - classify if failining test path contains ""formautofill""",2018-04-15T06:05:04Z,filed by  ncsoregi  at  mozilla com     job id   repo mozilla central     task   runs   artifacts public logs live backing log            info    gecko    test pass       tests browser extensions formautofill test mochitest parent utils js   got autocomplete popup    object xulelement     true           info    gecko    javascript error  jar file    z    build application firefox omni ja  components mozintl js  line    typeerror  all region codes must be strings            info    gecko     parent    main thread  warning   arv failed    file z  build build src dom ipc structuredclonedata cpp  line             info    gecko    test pass       tests browser extensions formautofill test mochitest formautofill parent utils js   true    true           info    gecko      domwindow         pid       serial       outer       url       tests simpletest iframe between tests html            info    gecko      domwindow         pid       serial       outer       url       tests browser extensions formautofill test mochitest test formautofill preview highlight html            info    gecko    assertion failure  msearchesongoing        msearches contains   at z  build build src toolkit components autocomplete nsautocompletecontroller cpp             info    gecko        xptc  invokebyindex  xpcom reflect xptcall md     asm              info    gecko        callmethodhelper  call   js xpconnect src xpcwrappednative cpp              info    gecko        xpcwrappednative  callmethod   js xpconnect src xpcwrappednative cpp              info    gecko        xpc wn callmethod   js xpconnect src xpcwrappednativejsops cpp              info    gecko        js  calljsnative   js  callargs const     js src vm jscontext inl h              info    gecko        js  internalcallorconstruct   js src vm interpreter cpp              info    gecko        static bool internalcall   js src vm interpreter cpp              info    gecko        static bool interpret   js src vm interpreter cpp              info    gecko        js  runscript   js src vm interpreter cpp              info    gecko        js  internalcallorconstruct   js src vm interpreter cpp   ,,,,
43,578694,Firefox,Sync,NEW,,Clearing history should wipe server and remote clients (desktop),2010-07-14T16:30:37Z,if the user clears all history we should wipe the server and have remote clients wipe their history  too  right now we just seem to be forcing a sync by upping the score by a ridiculous amount     the user might clear just recent history in which case we should delete   the relevant history entries  a quick test has revealed  however  that nsinavhistoryobservers don t seem to be notified of such an event ,,,,
44,1109645,Firefox for iOS,Browser,RESOLVED,FIXED,Find out if we can determine the (ssl/tls) security state of a loaded page,2014-12-10T15:29:47Z,can we do something basic by looking at the site s certificate and mimic the colors that we use in firefox desktop  maybe for experiment purposes we just start with a little indicator in the browser bar ,,,,
49,1647779,Core,Audio/Video: Playback,NEW,,Even After Granting Autoplay Permissions Videos Don't Always Autoplay,2020-06-23T16:51:48Z,str      set fenix setting to  block audio and video on cellular data only     have wifi on     go to   development of self driving cars html     videos on top of page won t autoplay  i put logs in ac and can see we  are  granting the content permission request for  permission autoplay audible  and  permission autoplay inaudible  so i m assuming this bug should be filed here  but correct me if i m missing something   i can also repro on        style what is inside this internet rabbit hole html  fenix issues     mobile fenix issues     mobile fenix issues  ,,,,
50,1378470,Firefox for iOS,Build & Test,RESOLVED,FIXED,Run XCUITests for ipads as well,2017-07-05T19:04:22Z,,,,,
51,1505453,Testing,Code Coverage,NEW,,Android CCov tests are prone to artifact mismatch,2018-11-07T16:55:20Z,android ccov tests can temporarily fail when jni methods are updated  caused by mismatched artifact builds ,,,,
52,1639087,GeckoView,General,ASSIGNED,,No magnifier with selecting content text on Android P,2020-05-19T03:43:10Z,user agent  mozilla       gecko   firefox      steps to reproduce        select some text in content in some page      move a text selection cursor by finger     actual results   display a  magnifier   on moving a text selection cursor   magnifier in gmail    images githubusercontent com               png   expected results   no magnifier ,,,,
54,1477297,Core,Panning and Zooming,RESOLVED,FIXED,tons of issue with viewport with latest Firefox 63 nightly for Android,2018-07-20T15:46:20Z,from yesterday build of firefox nightly   for android i ve got tons of issue with viewport for example i cannot edit violent monkey script   and in instagram mobile page while scrolling the bottom bar is not fixed as expected and it it moves upward as i scrool down    luckily i saved a   days old   build and it s issue free ,,,,
55,1562290,GeckoView,General,NEW,,Need a mechanism to limit gyroscope data leakage for fingerprinting,2019-06-28T18:49:44Z,our site permissions model does not currently seem to cover the gyroscope sensor  at least one user on fenix     brought up the fact that the gyroscope can be used for browser fingerprinting  there should be some api mechanism for apps to control the gyro and similar onsensorchanged events ,,,,
56,1354935,Firefox for iOS,Sync,RESOLVED,FIXED,Crash in HistoryPayload.asPlace() -> Place,2017-04-09T20:56:24Z,,,,,
59,1460411,Firefox for Android Graveyard,Testing,RESOLVED,FIXED,Run mochitests in TestRunnerActivity on packet.net,2018-05-09T20:13:22Z,,,,,
60,1498812,Firefox,Session Restore,RESOLVED,FIXED,Visual viewport breaks scroll position saving for Session Store/Session History,2018-10-13T14:36:46Z,str     enable  browser sessionstore debug logging  and restart     to simplify things  also disable the dynamic toolbar from the settings       go to      html and zoom in until the  index to events  table approximately fills the screen       do small scroll movements back and forth and observe the logcat output for geckosessionstore   expected  lots of  scroll  events   actual  for bigger scrolls flings  or if you zoom out  you still get  scroll  events as expected  but when zoomed in and only doing small scrolls you can go for quite some time without getting any  scroll  events ,,,,
62,1387197,Firefox for iOS,Home screen,NEW,,Bookmarks panel doesn't refresh when leaving Settings after Sign in with sync completed,2017-08-03T19:09:02Z,if user haven t signed in  and user is in bookmarks tab  now from bookmarks tab user went to settings screen and logged in  once successful sync  user dismissed settings screen  now user will be in bookmarks tab  noticed bookmarks is not visible  bookmarks will be visible if user switches between the tabs i e   top site  history etc  steps to reproduce  bookmarks      open the app  make sure user didn t logged in     open bookmarks tab    go to settings screen from bottom menu tray     sign in to the account    wait until app syncs completely    dismiss the settings screen     as user went from bookmarks tab to settings screen  user will be in bookmarks tab     noticed app not showing synced bookmarks    switch between top sites   history and then go to bookmarks tab  now bookmarks is displaying   note  if user is in any other screen and sign in  this issue won t produce ,,,,
64,1318091,GeckoView,General,RESOLVED,FIXED,Run GTest on Android x86_64,2016-11-16T20:20:19Z,i don t think we ve every tried to run gtest on android  let s see what happens ,,,,
68,1196243,Firefox for iOS,Favicons,RESOLVED,INACTIVE,Adjust favicon lookup to be domain-aware,2015-08-19T13:33:44Z,top sites are domains  but they carry with them the winning history entry  and that s what s used to populate the title   and the favicon   what if we ve visited m facebook com  have an icon for it  but www facebook com wins the race and represents facebook com on top sites  no favicon  that s what   we can do better   right now we join history    favicon sites    favicons   instead we can join      history    favicon sites    favicons  this is essentially  do we have an icon for another url with the same root domain     we should also consider wiring the favicon work deeper into the frecency history query  we can pick the first row in the group that has an icon  rather than just sorting internally by frecency ,,,,
69,1390294,Firefox for iOS,General,NEW,,Re-implement CoreSpotlight helper,2017-08-14T20:51:14Z,as a follow up to bug    we need to re implement a better helper for handling corespotlight support  the new helper should also be able to index synced history in bulk ,,,,
70,1401564,Firefox for iOS,General,NEW,,Improve copy margins for sync iOS onboarding in English and other languages,2017-09-20T14:27:06Z,created attachment   pick up where you left off   sign into firefox on iphone se png  please take a look at the attached screen shot and improve copy margins for sync ios onboarding in english and other languages ,,,,
72,1250530,Firefox for iOS,Browser,RESOLVED,INACTIVE,UI to choose between one of many logins to fill,2016-02-23T15:55:43Z,currently logins are auto filled  it is difficult to select an alternative login if there are more than one available   if you type the full username into the username text box  the password is autofilled ,,,,
75,1525486,GeckoView,General,NEW,,Support custom proxy settings,2019-02-06T01:49:33Z,   from desktop firefox open the   preferences         scroll to the heading for   network settings       press the   settings    button     the   connection settings   modal will appear   it d be nice for an api to cover these custom proxy connection settings  perhaps a pref to follow the system level android proxy settings   relevant issue filed for firefox reality       ,,,,
76,1462000,GeckoView,General,NEW,,[meta] Safe Browsing API improvements,2018-05-16T14:54:03Z,geckoview lacks an api to enalbe disable safe browsing  also probably needs a delegate to inform consumer when a site fails safe browsing so it give the user an option to view or close ,,,,
77,1689329,Core,Audio/Video: Playback,RESOLVED,FIXED,Mobile youtube-playback tests failures and crashes,2021-01-28T12:36:33Z,while running the youtube playback tests we see a lot of crashes and failures   repo try tier       revision    mainly to error types     app crash      from the crash we see hardwarecodeccapabilityutils wihich i think it might be a issue with video decoding but can t confirm it      process crash   pid  none   application crashed    nstarray impl refptr mozilla  mediadata   nstarrayinfallibleallocator   clearandretainstorage     frequency linux ccov reftest pid  none   application crashed     allocator mozjemallocbase   free     gcov do dump    runwatchdog    fseek   after application terminated with exit code     pid  none   application crashed    libc so        pid  none   application crashed     io fwrite    pid  none   application crashed         pid  none   application crashed    arena t  dallocsmall     pid  none   application crashed    bool mozilla  jni  method mozilla  java  hardwarecodeccapabilityutils     bool   call       browsertime failure line pid  none   application crashed    mozilla  jni  detail  accessor mozilla  widget  npzcsupport   accessor   no classification   pid  none   application crashed     io new file xsputn               test error with   file     the error is  exception  no benchmark metrics found in browsertime results  which shows that the test results where not generated      also the presence of tombstoone file is the evidence of a android crash ,,,,
78,1491188,Invalid Bugs,General,RESOLVED,INVALID,log in problem,2018-09-14T03:19:37Z,user agent  mozilla       applewebkit       chrome         safari    ,,,,
79,1350389,support.mozilla.org - Lithium,General,RESOLVED,FIXED,"Redirects for ""What's new in Firefox for iOS 7"" article (see linked Google Sheet, need redirects from column A to column C)",2017-03-24T17:49:50Z,    this bug was initially created as a clone of bug         in  what s new in firefox for ios      redirect spreadsheet      edit gid    please redirect all links in rows      in column a to the links in column c,,,,
81,1726203,Core,Disability Access APIs,NEW,,AXRows and AXRowCount inconsistent with aria-hidden,2021-08-17T18:11:01Z,str       data text html  table  thead aria hidden  true   tr  td hi  td  td world  td   tr   thead  tr  td goodbye   td  td moon  td   tr   table      inspect the table with accessibility inspector  expected   axrows   one row  reading  goodbye moon  axrowcount      actual   axrows   one row  reading  goodbye moon  axrowcount      this is because we get row count from gekco  which has no concept of aria hidden    central rev   accessible html htmltableaccessible cpp    vo  as a result  won t navigate tables with hidden rows ,,,,
84,1519874,Firefox for iOS,General,NEW,,Top Sites are not displaying the correct number of rows when changing device orientation,2019-01-14T15:46:43Z,build        device  iphone   ios       preconditions    log in to fxa  steps to reproduce     change device orientation to landscape    go to settings    home    top sites    select     row     change device orientation to portrait  actual results    top sites are displayed on   row in landscape and on   rows in portrait    expected results    top sites should be displayed on the selected number of rows regardless of device orientation    note    this also happens when setting   rows in portrait and changing the device orientation to landscape  in landscape top sites are displayed on   row     when setting   rows and changing the device orientation to landscape  top sites will only be displayed on   rows ,,,,
86,1271051,Firefox for iOS,Localization,RESOLVED,MOVED,Intro tour needs to follow RTL rules,2016-05-07T13:21:21Z,created attachment   untitled   png  swiping and page indicator need to be reversed  see the attached image for hints ,,,,
87,1536781,Core,Layout,RESOLVED,FIXED,Consider lowering paint suppression delay on mobile,2019-03-20T12:50:38Z,on android the delay is    desktop only    painting during load is rather different these days  we lower frame rate after first contentful paint  so hopefully smaller value is ok on mobile too    at least initial raptor testing hints about it     other tests    jobs repo try revision  ,,,,
89,1164052,Firefox for Android Graveyard,General,RESOLVED,INCOMPLETE,intermittent autophone-s1s2 | application crashed [unknown top frame],2015-05-12T15:13:10Z,created attachment   minidump  autophone will occasionally fail to obtain measurements due to a crash however minidump stackwalk will fail to parse the dmp file   example      jobs repo mozilla inbound revision   exclusion profile false filter searchstr autophone     amazonaws com pub mozilla org mobile tinderbox builds mozilla inbound android api     autophone     blank remote ini   nexus       logcat log     amazonaws com pub mozilla org mobile tinderbox builds mozilla inbound android api     autophone autophone     blank remote ini   nexus       log  mindump stackwalk fails with messages like   minidump header signature mismatch          i ve recently updated the version of minidump stackwalk  path    url    breakpad googlecode com svn trunk repository root    breakpad googlecode com svn repository uuid            revision    node kind  directory schedule  normal last changed author  primiano chromium org last changed rev    last changed date                    this bug is meant to track the crash as well as hopefully diagnose and fix the failure to parse the minidump ,,,,
91,1610528,Core,DOM: Core & HTML,NEW,,Kill `about:logo`,2020-01-21T14:54:12Z,we only use it in a few tests  and it s   exposed to web content ,,,,
92,1557796,Firefox Build System,Android Studio and Gradle Integration,RESOLVED,FIXED,Allow to override mozconfig for Android Studio in local.properties,2019-06-07T18:18:20Z,right now  android studio never manages the  mozconfig  environment variable itself   that means that if you re very resourceful  you can make as use any mozconfig file by setting the environment variable before launching   but on macos  at least  it s very hard to arrange that  setting env vars for gui programs has changed in almost every major revision since macos was released   so for most people that means that we  only  read  mozconfig  from the topsrcdir   this surprises people regularly   we can t really use environment variables for this  but i think we may be able to accommodate a  mozconfig  like setting in  local properites    the tricky thing is doing the right thing when  mozconfig  is set in the environment    and  is set in  local properties    what does that do   i guess it should take the  mozconfig  from the environment variable  to support command line development with multiple mozconfig files ,,,,
95,1586986,Core,Layout,RESOLVED,FIXED,Make VisualViewport size behavior match Chrome's,2019-10-08T05:27:54Z,on chrome visualviewport size is changed by the dynamic toolbar transitions  which means the height is including the dynamic toolbar height if the toolbar is visible ,,,,
96,1581868,Core,Graphics: WebRender,RESOLVED,FIXED,Black page sometimes when restoring geckoview_example/fenix with webrender enabled,2019-09-17T15:11:17Z,my initial guess is that this is somewhat related to bug     that we are calling notifyfirstpaint  too early  so are uncovering the geckoview before there is any content to display ,,,,
100,1514821,Firefox for iOS,Browser,VERIFIED,FIXED,PhotonActionSheet menu items should have a height of 44px,2018-12-17T17:47:50Z,,,,,
102,1303379,Firefox for iOS,Home screen,RESOLVED,FIXED,Remove all uses of the old TopSites once AS is enabled for everyone,2016-09-16T16:53:23Z,there are a few small hacks that i m having to make in order to support both the old topsites and the new activitystream  this bug is to track the changes i ll need to make once as is fully launched      remove topsitespanel swift   remove thumbnailcell swift   remove default topsite images in assets folder    change metadata in defaultsuggestedsites to use a simpler asset path for images    make amazon wikipedia have white backgrounds    remove color hack in topsitescell that changes black backgrounds to white ones ,,,,
104,1577303,Core,JavaScript: GC,RESOLVED,WONTFIX,Crash in [@ js::TenuringTracer::moveToTenured],2019-08-28T19:56:03Z,this bug is for crash report bp                 top   frames of crashing thread     xul dll js  tenuringtracer  movetotenured js src gc marking cpp     xul dll class mozilla  maybe js  value  js  mapgcthingtyped  lambda at z    build src js src gc marking cpp       js public value h     xul dll js  tenuringtracer  traceobject js src gc marking cpp     xul dll js  nursery  collecttofixedpoint js src gc marking cpp     xul dll js  nursery  docollection js src gc nursery cpp     xul dll js  nursery  collect js src gc nursery cpp     xul dll js  gc  gcruntime  minorgc js src gc gc cpp     xul dll js  gc  gcruntime  gccycle js src gc gc cpp     xul dll js  gc  gcruntime  collect js src gc gc cpp     xul dll js  gc  gcruntime  startgc js src gc gc cpp     ,,,,
109,1433447,Firefox for iOS,General,RESOLVED,INVALID,Objective #2 - We have shipped improvements to Tracking Protection that increases the engagement of this feature,2018-01-26T13:58:34Z,,,,,
111,1311080,Firefox for iOS,Home screen,RESOLVED,INACTIVE,[User Story][iOS] I want to see relevant content in my Highlights and understand why they are shown (Highlights Algorithm),2016-10-18T17:27:54Z,,,,,
113,1684846,Core,Layout: Text and Fonts,RESOLVED,FIXED,Geckoview example crashes when loading mozilla.org,2021-01-04T11:43:10Z,occurs on both emulator and device  happens on mozilla org but not on other websites i tested  such as  bbc co uk   mozregression gives  this    bug    backtrace      refptr fontinfodata   operator    const refptr h   gfxplatformfontlist  initloader  gfxplatformfontlist cpp   gfxfontinfoloader  startloader  gfxfontinfoloader cpp   gfxplatformfontlist  initotherfamilynamesinternal  gfxplatformfontlist cpp   gfxplatformfontlist  initotherfamilynamesrunnable  run  gfxplatformfontlist h   mozilla  runnabletask  run  taskcontroller cpp   mozilla  taskcontroller  doexecutenexttaskonlymainthreadinternal  taskcontroller cpp   mozilla  taskcontroller  executenexttaskonlymainthreadinternal  taskcontroller cpp   mozilla  taskcontroller  processpendingmttask  taskcontroller cpp   mozilla  taskcontroller  initializeinternal       operator   const taskcontroller cpp   mozilla  detail  runnablefunction mozilla  taskcontroller  initializeinternal        run  nsthreadutils h   nsthread  processnextevent  nsthread cpp   ns processnextevent  nsthreadutils cpp   mozilla  ipc  messagepump  run  messagepump cpp   messageloop  runinternal  message loop cc   messageloop  runhandler  message loop cc   messageloop  run  message loop cc   nsbaseappshell  run  nsbaseappshell cpp   nsappstartup  run  nsappstartup cpp   xremain  xre mainrun  nsapprunner cpp   xremain  xre main  nsapprunner cpp   xre main  nsapprunner cpp     geckostart  nsandroidstartup cpp   mozilla  bootstrapimpl  geckostart  bootstrap cpp     java org mozilla gecko mozglue geckoloader nativerun  apkopen cpp   nativerun   art quick invoke static stub   art  artmethod  invoke    art  interpreter  artinterpretertocompiledcodebridge    bool art  interpreter  docall true  false     bool art  interpreter  doinvoke     true  false     art  jvalue art  interpreter  executeswitchimpl false  false     art  interpreter  execute    artquicktointerpreterbridge   art quick to interpreter bridge   art quick invoke stub   art  artmethod  invoke    art  invokewithargarray    art  invokevirtualorinterfacewithjvalues    art  thread  createcallback      pthread start      start thread     bionic clone      ,,,,
115,1661810,NSS,Libraries,RESOLVED,FIXED,Crash @ arm_aes_encrypt_ecb_128 when building with clang 11,2020-08-28T20:32:36Z,  stats mozilla org report index          ,,,,
117,1321850,Firefox for iOS,Browser,NEW,,URL bar doesn't respond correctly to Cmd-C,2016-12-02T18:27:06Z,  focus the url bar    observe that the text is selected      hit cmd c   expected    the url is now in my pasteboard   actual    it s not  i need to long press the url bar and choose  copy url    cmd v works  overwriting the selected text ,,,,
118,6526,Core Graveyard,Viewer App,RESOLVED,FIXED,Viewer will core dump on exit!,1999-05-16T06:02:43Z,i built from the cvs today   on a solaris box with egcs  things ran fine but when i used tried to exit the program from the menu i got a core dump  here is the stack trace i got         in            in exit         in gdk set use xshm   at       gdk gdk c         in gtk exit   at       gtk gtkmain c         in nsappshell  exit   at             widget src gtk nsappshell cpp         in nsviewerapp  exit   at             webshell tests viewer nsviewerapp cpp         in nsbrowserwindow  dispatchmenuitem       at             webshell tests viewer nsbrowserwindow cpp         in nsnativebrowserwindow  dispatchmenuitem  this    aid        at             webshell tests viewer nsgtkmain cpp         in gtk ifactory cb  nbw    callback action    widget        at             webshell tests viewer nsgtkmenu cpp         in gtk item factory callback marshal  widget    func data        at       gtk gtkitemfactory c        in gtk marshal none  none  object    func    gtk item factory callback marshal       func data    args    at       gtk gtkmarshal c        in gtk handlers run  handlers    signal    object    params        after    at       gtk gtksignal c        in gtk signal real emit  object    signal id    params        at       gtk gtksignal c        in gtk signal emit   at       gtk gtksignal c        in gtk widget activate   at       gtk gtkwidget c        in gtk menu shell activate item  menu shell    menu item    force deactivate        at       gtk gtkmenushell c        in gtk menu shell button release  widget    event    at       gtk gtkmenushell c        in gtk marshal bool  pointer  object    func    gtk menu shell button release       func data    args    at       gtk gtkmarshal c        in gtk signal real emit  object    signal id    params        at       gtk gtksignal c        in gtk signal emit   at       gtk gtksignal c        in gtk widget event   at       gtk gtkwidget c        in gtk propagate event   at       gtk gtkmain c        in gtk main do event   at       gtk gtkmain c        in gdk event dispatch  source data    current time    user data        at       gdk gdkevents c        in g main dispatch   at    gmain c        in g main iterate   at    gmain c        in g main run   at    gmain c        in gtk main   at       gtk gtkmain c        in nsappshell  run   at             widget src gtk nsappshell cpp        in nsnativeviewerapp  run   at             webshell tests viewer nsgtkmain cpp        in main   at             webshell tests viewer nsgtkmain cpp  ,,,,
119,1466751,Firefox for iOS,Login Management,NEW,,Support Password AutoFill by registering as a credential provider,2018-06-05T07:20:30Z,user agent  mozilla       gecko   firefox     build id     steps to reproduce   ios   introduced a new integration for third party password managers      firefox already has a password manager built in and syncs passwords across devices  it would be handy if those passwords could be used outside of firefox as well          autofill ,,,,
120,1173381,Firefox for iOS,General,NEW,,Support the new WKWebsiteDataStore APIs to implement web site storage management,2015-06-10T15:36:59Z,using wkwebsitedatastore we can manage web site persistent data like cookies  cache  local storage and more  it is now possible to wipe this data ,,,,
121,1677190,GeckoView,General,NEW,,Enable Session History In Parent in GeckoView,2020-11-13T19:45:46Z,the dom team mentioned we should try to enable ship by default ,,,,
